object,words
ball_base,"hard, ball, green, small, round, toy"
ball_basket,"squishy, soft, brown, ball, rubber, round, toy"
ball_blue,"ball, blue, plastic, hard, round, toy"
ball_transparent,"ball, blue, transparent, hard, small, round, toy"
ball_yellow_purple,"ball, yellow, purple, multi-colored, soft, small, round, toy"
basket_cylinder,"basket, container, wicker, cylindrical, yellow, light, empty"
basket_funnel,"basket, container, wicker, cylindrical, red, yellow, multicolored, empty"
basket_green,"basket, green, container, wicker, empty"
basket_handle,"basket, brown, container, wicker, handle, empty"
basket_semicircle,"basket, yellow, container, wicker, empty"
bigstuffedanimal_bear,"squishy, stuffed animal, bear, brown, soft, big, deformable, toy"
bigstuffedanimal_bunny,"squishy, stuffed animal, bunny, brown, soft, big, deformable, toy"
bigstuffedanimal_frog,"squishy, stuffed animal, green, frog, soft, big, deformable, toy"
bigstuffedanimal_pink_dog,"squishy, stuffed animal, pink, dog, soft, big, deformable, toy"
bigstuffedanimal_tan_dog,"squishy, stuffed animal, yellow, dog, soft, big, deformable, toy"
bottle_fuse,"cylindrical, bottle, plastic, empty, container, hard, light, purple"
bottle_google,"cylindrical, water bottle, bottle, plastic, blue, empty, container, hard, light"
bottle_green,"cylindrical, bottle, water bottle, empty, plastic, container, green, hard, light"
bottle_red,"cylindrical, bottle, water bottle, empty, plastic, container, red, squishy, light"
bottle_sobe,"cylindrical, bottle, purple, plastic, hard, container, empty, light, cylindrical"
can_arizona,"green, cylindrical, can, metal, aluminum, large, empty, container, open, cylindrical"
can_coke,"red, cylindrical, can, metal, aluminum, small, empty, container, open, cylindrical"
can_red_bull_large,"blue, cylindrical, can, metal, aluminum, large, empty, container, open, cylindrical"
can_red_bull_small,"blue, cylindrical, can, metal, aluminum, small, empty, container, open, cylindrical"
can_starbucks,"cylindrical, can, metal, aluminum, small, empty, container, open, cylindrical"
cannedfood_chili,"cylindrical, can, full, metal, multicolored"
cannedfood_cowboy_cookout,"cylindrical, can, full, metal, multicolored"
cannedfood_soup,"cylindrical, can, full, metal, multicolored"
cannedfood_tomato_paste,"cylindrical, can, full, metal, multicolored"
cannedfood_tomatoes,"cylindrical, can, full, metal, multicolored"
cone_1,"cone, green, small, short, styrofoam, light"
cone_2,"cone, green, small, short, styrofoam, light"
cone_3,"cone, green, medium, styrofoam, light"
cone_4,"cone, green, tall, styrofoam, light"
cone_5,"cone, green, tall, big, styrofoam"
cup_blue,"cup, blue, plastic, empty"
cup_isu,"cup, red, empty, plastic"
cup_metal,"cup, metal, empty"
cup_paper_green,"cup, paper, green, empty"
cup_yellow,"cup, yellow, plastic, empty"
egg_cardboard,"egg, green, small, cardboard"
egg_plastic_wrap,"egg, plastic, small, green"
egg_rough_styrofoam,"egg, small, styrofoam, green"
egg_smooth_styrofoam,"egg, small, styrofoam, green"
egg_wood,"egg, small, wood, green"
eggcoloringcup_blue,"cup, plastic, small, cylindrical, blue, empty, short, light"
eggcoloringcup_green,"cup, plastic, small, cylindrical, green, empty, short, light"
eggcoloringcup_orange,"cup, plastic, small, cylindrical, orange, empty, short, light"
eggcoloringcup_pink,"cup, plastic, small, cylindrical, pink, empty, short, light"
eggcoloringcup_yellow,"cup, plastic, small, cylindrical, yellow, empty, short, light"
medicine_ampicillin,"medicine, container, full, closed, plastic, pills, hard, transparent, orange, short, small"
medicine_aspirin,"medicine, container, full, closed, plastic, pills, hard, transparent, white, short, small"
medicine_bilberry_extract,"medicine, container, full, closed, plastic, pills, hard, green, short, small"
medicine_calcium,"medicine, container, full, closed, plastic, pills, hard,  transparent, orange, short, small"
medicine_flaxseed_oil,"medicine, container, full, closed, plastic, pills, hard, yellow, short, small"
metal_flower_cylinder,"metal, cylinder, tall, large, empty, container, shiny, closed"
metal_food_can,"metal, cylinder, short, empty, container, shiny, closed"
metal_mix_covered_cup,"metal, can, cylinder, empty, open, shiny"
metal_tea_jar,"metal, can, cylinder, empty, open, shiny"
metal_thermos,"metal, cylinder, bottle, empty, closed, shiny"
no_object,
noodle_1,"pink, foam, soft, deformable, light, short, toy"
noodle_2,"pink, foam, soft, deformable, light, short, toy"
noodle_3,"pink, foam, soft, deformable, toy, light"
noodle_4,"pink, foam, soft, deformable, toy, tall, light"
noodle_5,"pink, foam, soft, deformable, toy, tall, light, big"
pasta_cremette,"green, multicolored, small, pasta, box, paper, container, full, closed, deformable, rectangular"
pasta_macaroni,"blue, multicolored, pasta, box, paper, container, full, closed, deformable, rectangular"
pasta_penne,"yellow, multicolored, pasta, box, paper, container, full, closed, deformable, large, rectangular"
pasta_pipette,"blue, multicolored, pasta, box, paper, container, full, closed, deformable, large, rectangular"
pasta_rotini,"yellow, multicolored, pasta, box, paper, container, full, closed, deformable, large, rectangular"
pvc_1,"pvc, plastic, cylindrical, round, short, hard, green, pipe, small, light"
pvc_2,"pvc, plastic, cylindrical, round, short, hard, green, pipe, small"
pvc_3,"pvc, plastic, cylindrical, round, short, hard, green, pipe"
pvc_4,"pvc, plastic, cylindrical, round, short, hard, green, pipe, wide"
pvc_5,"pvc, plastic, cylindrical, round, short, hard, green, pipe, wide"
smallstuffedanimal_bunny,"squishy, stuffed animal, soft, small, deformable, toy, light, pink"
smallstuffedanimal_chick,"squishy, stuffed animal, soft, small, deformable, toy, light, green"
smallstuffedanimal_headband_bear,"squishy, stuffed animal, soft, small, deformable, toy, light, brown"
smallstuffedanimal_moose,"squishy, stuffed animal, soft, small, deformable, toy, light, brown"
smallstuffedanimal_otter,"squishy, stuffed animal, soft, small, deformable, toy, light, brown"
timber_pentagon,"tall, wood, brown, stick, block, hard"
timber_rectangle,"tall, wood, brown, stick, block, hard"
timber_semicircle,"tall, wood, brown, stick, block, hard"
timber_square,"tall, wood, brown, stick, block, hard"
timber_squiggle,"tall, wood, brown, stick, block, hard"
tin_pokemon,"box, container, closed, metal, empty, shiny, rectangular, hard, large, tall, yellow, multicolored"
tin_poker,"box, container, closed, metal, empty, shiny, rectangular, hard, tall, blue, multicolored"
tin_snack_depot,"box, container, closed, metal, empty, shiny, rectangular, hard, large, tall, brown, multicolored"
tin_snowman,"box, container, closed, metal, empty, shiny, rectangular, hard, small, short, blue"
tin_tea,"box, container, closed, metal, empty, shiny, rectangular, hard, small, short, brown"
tupperware_coffee_beans,"red, plastic, container, closed, full, hard"
tupperware_ground_coffee,"red, plastic, container, closed, full, hard"
tupperware_marbles,"red, plastic, container, closed, full, hard"
tupperware_pasta,"red, plastic, container, closed, full, hard"
tupperware_rice,"red, plastic, container, closed, full, hard"
weight_1,"blue, tall, cylindrical, empty, closed, container, plastic"
weight_2,"blue, tall, cylindrical, closed, container, plastic"
weight_3,"blue, tall, cylindrical, full, closed, container, plastic"
weight_4,"blue, tall, cylindrical, full, closed, container, plastic"
weight_5,"blue, tall, cylindrical, full, closed, container, plastic"
